Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.36084696400674E-05,0.00028713387556778,0.0438378186374772,0,0,0,2.25213983841171,0.00610179267270193,5.05489700638155E-06,-2.06579420136556E-06,0.00603383828429949,-2.85750001496908E-06,0.00860649294977137,0,0,0,0,0,0,package://keti_robot_description/meshes/base_link.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://keti_robot_description/meshes/base_link.STL,,RB10 Robot.STEP-1/RB10_BASE.STEP-1,ref_q1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.000155596593394897,-0.0115300991030924,0.185903011387218,0,0,0,3.38716123949166,0.00965712344078406,2.56321142215039E-06,-2.07213259316219E-06,0.00999757711288239,0.00227412846191921,0.00985394828837277,0,0,0,0,0,0,package://keti_robot_description/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/link1.STL,,RB10 Robot.STEP-1/RB10_LINK1.STEP-1,ref_q1,axis_q1,q1,revolute,0,0,0,0,0,0,base_link,0,0,1,10,100,-6.3,6.3,,,,,,,,
link2,-5.04047652291201E-05,-0.255908501214572,-0.182094524542086,0,0,0,10.3635885023069,0.120627099316039,2.65066669408744E-06,2.16897828737298E-06,0.0227437773556374,-0.0016029791309899,0.120841683724806,0,0,0,0,0,0,package://keti_robot_description/meshes/link2.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://keti_robot_description/meshes/link2.STL,,RB10 Robot.STEP-1/RB10_LINK2.STEP-1,ref_q2,axis_q2,q2,revolute,0,0,0.198,-1.5708,0,0,link1,0,0,1,10,100,-6.3,6.3,,,,,,,,
link3,0.266215180264014,1.29712622268241E-07,0.143135404945513,0,0,0,5.05083741641896,0.00628902623789062,9.1337717733775E-09,-0.000370519945348952,0.061756757690725,-1.56347717729795E-09,0.0618362170084191,0,0,0,0,0,0,package://keti_robot_description/meshes/link3.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://keti_robot_description/meshes/link3.STL,,RB10 Robot.STEP-1/RB10_LINK3.STEP-1,ref_q3,axis_q3,q3,revolute,0,-0.6127,-0.1875,0,0,-1.5708,link2,0,0,1,10,100,-6.3,6.3,,,,,,,,
link4,0.00564731690989118,-2.03600273793181E-07,-0.111294177443476,0,0,0,0.809634247265308,0.000806283674225212,-1.71998154303632E-08,0.000215199499704635,0.000838076862135837,-7.62439682589746E-09,0.00088136714943862,0,0,0,0,0,0,package://keti_robot_description/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/link4.STL,,RB10 Robot.STEP-1/RB10_LINK4.STEP-1,ref_q4,axis_q4,q4,revolute,0.57015,0,0.1484,0,0,0,link3,0,0,1,10,100,-6.3,6.3,,,,,,,,
link5,3.79221289037446E-07,-0.0065154111458714,0.111384778201544,0,0,0,0.822358399005338,0.00086697648332544,-4.3209208438896E-09,-3.43499554605311E-09,0.00082200885145279,0.000222523008866456,0.000907682647219081,0,0,0,0,0,0,package://keti_robot_description/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/link5.STL,,RB10 Robot.STEP-1/RB10_LINK5.STEP-1,ref_q5,axis_q5,q5,revolute,0,0,-0.11715,1.5708,0,1.5708,link4,0,0,1,10,100,-6.3,6.3,,,,,,,,
link6,-2.74288486201701E-07,-0.000235269428608742,-0.0906803365828259,0,0,0,0.237678022472349,0.000145950216129124,-1.23036106344042E-09,-7.04161447052051E-10,0.000148314461323765,5.7765854614293E-07,0.000234953691644831,0,0,0,0,0,0,package://keti_robot_description/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/link6.STL,,RB10 Robot.STEP-1/RB10_LINK6^RB10-1300 ASS''Y(211122).STEP-1/RB10_LINK6.STEP-1,ref_q6,axis_q6,q6,revolute,0,0,0.11715,-1.5708,0,0,link5,0,0,1,10,100,-6.3,6.3,,,,,,,,
gripper_body,-3.45920909952668E-05,-0.0477817173459312,-0.00571131983067263,0,0,0,0.933264814357233,0.000450791407921585,4.50924518749628E-07,-7.44739815604934E-07,0.00142129108945366,-3.93915847422977E-06,0.00128066984792434,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_body.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_body.STL,,Adap_01-1;Zimmer_Adap_01-1;Zimmer_Adap_Stopper-1;GEH6060IL-03-B-1;Zimmer_Adap_02-1;Zimmer_Adap_Stopper-2;D435_지지대_02-1;D435_지지대_01-1,ref_end,axis_q6,link6_gripper_fixed,fixed,0,0,-0.1148,1.5708,0,0,link6,0,0,0,,,,,,,,,,,,
gripper_tool1,-0.0503901981194649,-0.00839540838169439,-0.000187095087317068,0,0,0,0.0524980209707729,4.96961994940061E-06,9.16328438600949E-07,-9.29191075202697E-08,5.26806301784339E-06,3.76648518766332E-08,4.33143562379133E-06,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_tool1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_tool1.STL,,툴팁 어댑터_Grip-1,ref_s,axis_s1,s1,prismatic,0,-0.0962,0,0,0,0,gripper_body,1,0,0,10,100,0,0.04,,,,,,,,
gripper_finger1,-0.047830477436016,-0.0616732966021152,-4.02028360380058E-07,0,0,0,0.0233180451311379,2.40087905135542E-05,3.97733646582783E-07,-1.76194958848478E-12,1.26145385442102E-06,-3.65200575464404E-11,2.34253553003692E-05,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_finger1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_finger1.STL,,Challenge_Tooltip_1SLDPRT-2;Challenge_Tooltip_3SLDPRT-1;Silicone_1-1,ref_s,axis_s1,tool_finger1_fixed,fixed,0,0,0,0,0,0,gripper_tool1,0,0,0,,,,,,,,,,,,
gripper_tool2,0.050390198119466,-0.00839540838169439,0.000187095087317957,0,0,0,0.052498020970773,4.96961994940061E-06,-9.1632843860095E-07,-9.29191075202696E-08,5.2680630178434E-06,-3.76648518766344E-08,4.33143562379133E-06,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_tool2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_tool2.STL,,툴팁 어댑터_Grip-2,ref_s,axis_s2,s2,prismatic,0,-0.0962,0,0,0,0,gripper_body,-1,0,0,10,100,0,0.04,,,,,,,,
gripper_finger2,0.0478304774360172,-0.0616732966021147,4.02028361046192E-07,0,0,0,0.023318045131138,2.40087905135545E-05,-3.97733646582811E-07,-1.7619495854565E-12,1.26145385442102E-06,3.6520057602396E-11,2.34253553003694E-05,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_finger2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://keti_robot_description/meshes/gripper_finger2.STL,,Challenge_Tooltip_1SLDPRT-1;Challenge_Tooltip_3SLDPRT-2;Silicone_1-2,ref_s,axis_s2,tool_finger2_fixed,fixed,0,0,0,0,0,0,gripper_tool2,0,0,0,,,,,,,,,,,,
